Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime
28 Jan 2024,,,,,,,,,,,,,,
All datapoints provided as of end of last active trading day.,,,,,,,,,,,,,,
SLIGRO FOOD GROUP,NL0000817179,SLIGR,Euronext Amsterdam,EUR,14.90,15.14,14.90,15.00,26/01/2024 17:35,CET,15628,234939.60,15.00,26/01/2024
SMA SOLAR TECHNOL,DE000A0DJ6J9,1S,Euronext Global Equity Market,EUR,53.60,53.60,51.90,51.90,12/01/2024 09:00,CET,800,41860.00,47.94,26/01/2024
SMA SOLAR TECHNOL,DE000A0DJ6J9,4S,EuroTLX,EUR,46.90,46.90,46.90,46.90,22/01/2024 11:59,CET,43,2016.70,47.96,26/01/2024
SMA SOLAR TECHNOL,DE000A0DJ6J9,2S,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,47.94,26/01/2024
SMAIO,FR0014005I80,ALSMA,Euronext Growth Paris,EUR,3.10,3.10,2.88,2.98,26/01/2024 14:23,CET,3452,10267.70,2.98,26/01/2024
SMALTO,FR0011131788,MLSML,Euronext Access Paris,EUR,0.015,0.015,0.015,0.015,26/01/2024 11:30,CET,125,1.875,0.015,26/01/2024
SMALTO BSA,FR0010649228,SMLBS,Euronext Access Paris,EUR,0.04,0.04,0.04,0.04,27/12/2016 15:30,CET,115298,4611.92,0.04,26/01/2024
SMART GOOD THINGS,FR001400LBS6,MLSGT,Euronext Access Paris,EUR,16.998,16.998,16.998,16.998,02/01/2024 16:30,CET,18,305.96,16.998,26/01/2024
SMARTCRAFT,NO0011008971,SMCRT,Oslo Børs,NOK,25.90,25.90,25.10,25.30,26/01/2024 16:25,CET,260922,6644230.70,25.30,26/01/2024
SMARTOPTICS GROUP,NO0011012502,SMOP,Euronext Growth Oslo,NOK,18.60,18.60,18.60,18.60,26/01/2024 14:47,CET,700,13020.00,18.60,26/01/2024
SMARTPHOTO GROUP,BE0974323553,SMAR,Euronext Brussels,EUR,30.40,30.40,29.90,30.40,26/01/2024 15:34,CET,279,8368.60,30.40,26/01/2024
SMCP,FR0013214145,SMCP,Euronext Paris,EUR,2.89,2.92,2.835,2.88,26/01/2024 17:35,CET,106572,307286.05,2.88,26/01/2024
SMTPC,FR0004016699,ALTPC,Euronext Growth Paris,EUR,27.60,27.60,27.30,27.30,26/01/2024 17:35,CET,860,23586.70,27.30,26/01/2024
SMURFIT KAPPA GP,IE00B1RR8406,SK3,Euronext Dublin,EUR,36.21,36.96,36.00,36.39,26/01/2024 21:00,IST,784627,28661399.78,36.39,26/01/2024
SNAM,IT0003153415,2SRG,Trading After Hours,EUR,4.53,4.536,4.491,4.519,26/01/2024 20:22,CET,16830,75941.983,4.512,26/01/2024
SNAM,IT0003153415,SRG,Euronext Milan,EUR,4.536,4.536,4.445,4.514,26/01/2024 17:35,CET,13235385,59489240.78,4.514,26/01/2024
SNAP - CLASSE A,US83304A1060,1SNAP,Euronext Global Equity Market,EUR,14.03,14.26,14.03,14.26,17/01/2024 12:06,CET,850,11937.00,15.05,26/01/2024
SNAP - CLASSE A,US83304A1060,4SNAP,EuroTLX,EUR,14.27,14.27,14.27,14.27,16/01/2024 15:44,CET,200,2854.00,15.06,26/01/2024
SNAP - CLASSE A,US83304A1060,2SNAP,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,15.05,26/01/2024
SNCB/NMBS -Jce/Gen,BE0010621481,-,Euronext Expert Market,EUR,0.09,0.09,0.09,0.09,12/04/2022 11:30,CET,1605,144.45,0.09,26/01/2024
SNOWFLAKE,US8334451098,1SNOW,Euronext Global Equity Market,EUR,188.40,188.40,187.40,187.40,26/01/2024 15:59,CET,45,8453.00,188.60,26/01/2024
SNOWFLAKE,US8334451098,4SNOW,EuroTLX,EUR,191.00,192.00,191.00,192.00,24/01/2024 16:39,CET,16,3071.00,188.40,26/01/2024
SNOWFLAKE,US8334451098,2SNOW,Trading After Hours,EUR,174.40,174.40,170.60,170.60,11/12/2023 19:43,CET,14,2392.20,188.60,26/01/2024
SOC EDIT IL FATTO,IT0005353484,SEIF,Euronext Growth Milan,EUR,0.298,0.298,0.298,0.298,26/01/2024 09:01,CET,2000,596.00,0.298,26/01/2024
SOC FRANC CASINOS,FR0010209809,SFCA,Euronext Paris,EUR,1.83,1.83,1.83,1.83,26/01/2024 11:30,CET,1,1.83,1.83,26/01/2024
SOCIETE GENERALE,FR0000130809,4GLE,EuroTLX,EUR,23.745,23.81,23.745,23.81,26/01/2024 16:53,CET,110,2618.255,23.775,26/01/2024
SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,23.61,23.95,23.565,23.75,26/01/2024 17:35,CET,3157763,75018976.905,23.75,26/01/2024
SOCIETE GENERALE,FR0000130809,1GLE,Euronext Global Equity Market,EUR,23.825,23.955,23.815,23.815,26/01/2024 16:05,CET,1082,25805.62,23.81,26/01/2024
SOCIETE GENERALE,FR0000130809,2GLE,Trading After Hours,EUR,21.22,21.22,21.22,21.22,06/11/2023 18:38,CET,1,21.22,23.81,26/01/2024
SOCLINPAR,QX0000022625,-,Euronext Expert Market,EUR,21.78,21.78,21.78,21.78,29/11/2016 11:30,CET,14,304.92,21.80,26/01/2024
SODEXO,FR0000121220,SW,Euronext Paris,EUR,100.35,102.40,99.80,102.10,26/01/2024 17:35,CET,193594,19716610.71,102.10,26/01/2024
SODEXO,FR0000121220,2SW,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,102.10,26/01/2024
SODEXO,FR0000121220,4SW,EuroTLX,EUR,100.50,100.50,100.50,100.50,24/01/2024 10:35,CET,16,1608.00,102.15,26/01/2024
SODITECH,FR0000078321,SEC,Euronext Paris,EUR,1.32,1.47,1.32,1.47,26/01/2024 16:30,CET,2472,3385.14,1.47,26/01/2024
